customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
AI-108553,209,1,20.0,2,1,1,211,At Risk
AI-108554,14,10,4376.0,5,5,5,555,Champions
AI-8551,561,1,30.0,1,1,1,111,Lost
AI-8552,204,3,891.0,2,1,2,212,At Risk
AJ-107801,125,5,5821.0,3,3,5,335,Potential Loyalist
AJ-107802,49,7,3898.0,4,4,4,444,Loyal Customers
AJ-107803,62,6,601.0,4,3,2,432,Potential Loyalist
AJ-107804,76,7,4868.0,4,4,5,445,Champions
AJ-107951,63,6,1209.0,4,3,2,432,Potential Loyalist
AJ-107952,154,6,2249.0,2,3,3,233,At Risk
AJ-107953,190,3,851.0,2,1,2,212,At Risk
AJ-107954,167,7,4501.0,2,4,5,245,Can't Lose Them
AJ-109451,92,9,2329.0,3,5,3,353,Potential Loyalist
AJ-109452,416,7,3402.0,1,4,4,144,Can't Lose Them
AJ-109453,29,6,3517.0,5,3,4,534,Potential Loyalist
AJ-109454,86,7,1839.0,3,4,3,343,Potential Loyalist
AJ-109601,49,4,1709.0,4,2,3,423,Others
AJ-109602,208,6,4502.0,2,3,5,235,Can't Lose Them
AJ-109603,52,4,1792.0,4,2,3,423,Others
AJ-109604,75,3,629.0,4,1,2,412,Others
AJ-7801,212,7,1608.0,2,4,3,243,Can't Lose Them
AJ-7802,574,1,19.0,1,1,1,111,Lost
AJ-7803,2,4,942.0,5,2,2,522,Others
AJ-7951,37,5,1276.0,4,3,2,432,Potential Loyalist
AJ-7952,122,5,2119.0,3,3,3,333,Potential Loyalist
AJ-9451,105,5,3817.0,3,3,4,334,Potential Loyalist
AJ-9452,341,2,1045.0,2,1,2,212,At Risk
AJ-9601,412,6,4071.0,1,3,4,134,Can't Lose Them
AJ-9602,295,4,556.0,2,2,2,222,At Risk
AM-103601,16,8,3217.0,5,4,4,544,Champions
AM-103602,22,11,8940.0,5,5,5,555,Champions
AM-103603,97,9,3759.0,3,5,4,354,Potential Loyalist
AM-103604,29,5,813.0,5,3,2,532,Potential Loyalist
AM-107051,323,10,11709.0,2,5,5,255,Can't Lose Them
AM-107052,26,7,6094.0,5,4,5,545,Champions
AM-107053,139,5,742.0,3,3,2,332,Potential Loyalist
AM-107054,163,8,5665.0,2,4,5,245,Can't Lose Them
AM-3601,191,4,435.0,2,2,1,221,At Risk
AM-3602,176,2,1601.0,2,1,3,213,At Risk
AM-7051,137,4,867.0,3,2,2,322,Others
AM-7052,378,1,24.0,1,1,1,111,Lost
AM-7053,892,1,411.0,1,1,1,111,Lost
AO-108101,37,12,7085.0,4,5,5,455,Champions
AO-108102,189,10,5657.0,2,5,5,255,Can't Lose Them
AO-108103,122,4,1636.0,3,2,3,323,Others
AO-108104,502,1,161.0,1,1,1,111,Lost
AO-8101,8,1,24.0,5,1,1,511,Others
AO-8102,342,1,386.0,2,1,1,211,At Risk
AO-8103,126,3,76.0,3,1,1,311,Others
AP-107201,45,7,9040.0,4,4,5,445,Champions
AP-107202,47,2,1763.0,4,1,3,413,Others
AP-107203,180,3,2919.0,2,1,4,214,Can't Lose Them
AP-107204,42,8,1639.0,4,4,3,443,Loyal Customers
AP-109151,77,9,9049.0,4,5,5,455,Champions
AP-109152,132,6,1435.0,3,3,3,333,Potential Loyalist
AP-109153,318,7,2070.0,2,4,3,243,Can't Lose Them
AP-109154,99,10,3324.0,3,5,4,354,Potential Loyalist
AP-7201,38,4,423.0,4,2,1,421,Others
AP-7202,128,2,576.0,3,1,2,312,Others
AP-9151,464,3,2151.0,1,1,3,113,At Risk
AP-9152,93,2,517.0,3,1,1,311,Others
AR-103451,103,9,4462.0,3,5,5,355,Potential Loyalist
AR-103452,30,9,7043.0,5,5,5,555,Champions
AR-103453,316,4,1607.0,2,2,3,223,At Risk
AR-103454,112,4,1056.0,3,2,2,322,Others
AR-104051,55,6,2010.0,4,3,3,433,Potential Loyalist
AR-104052,112,7,3532.0,3,4,4,344,Potential Loyalist
AR-104053,145,4,1182.0,3,2,2,322,Others
AR-104054,126,5,2235.0,3,3,3,333,Potential Loyalist
AR-105101,238,11,6254.0,2,5,5,255,Can't Lose Them
AR-105102,63,7,6533.0,4,4,5,445,Champions
AR-105103,77,6,1210.0,4,3,2,432,Potential Loyalist
AR-105104,15,5,264.0,5,3,1,531,Potential Loyalist
AR-105401,649,4,1154.0,1,2,2,122,Lost
AR-105402,122,2,64.0,3,1,1,311,Others
AR-105403,416,3,157.0,1,1,1,111,Lost
AR-105404,7,6,6609.0,5,3,5,535,Potential Loyalist
AR-105701,3,7,4880.0,5,4,5,545,Champions
AR-105702,105,4,1898.0,3,2,3,323,Others
AR-105703,3,6,2581.0,5,3,4,534,Potential Loyalist
AR-105704,535,1,88.0,1,1,1,111,Lost
AR-108251,379,4,633.0,1,2,2,122,Lost
AR-108252,80,15,7720.0,3,5,5,355,Potential Loyalist
AR-108253,23,11,2435.0,5,5,3,553,Loyal Customers
AR-108254,59,8,4523.0,4,4,5,445,Champions
AR-3451,696,3,1243.0,1,1,2,112,Lost
AR-3452,142,6,1058.0,3,3,2,332,Potential Loyalist
AR-4051,377,2,144.0,1,1,1,111,Lost
AR-4052,223,4,426.0,2,2,1,221,At Risk
AR-5101,241,2,371.0,2,1,1,211,At Risk
AR-5102,105,8,2267.0,3,4,3,343,Potential Loyalist
AR-5401,222,4,325.0,2,2,1,221,At Risk
AR-5402,398,4,236.0,1,2,1,121,Lost
AR-5701,295,3,970.0,2,1,2,212,At Risk
AR-5702,71,6,1075.0,4,3,2,432,Potential Loyalist
AR-8251,34,3,1704.0,4,1,3,413,Others
AR-8252,75,4,324.0,4,2,1,421,Others
AS-100451,77,5,2056.0,4,3,3,433,Potential Loyalist
AS-100452,24,13,6708.0,5,5,5,555,Champions
AS-100453,220,3,779.0,2,1,2,212,At Risk
AS-100454,89,7,3051.0,3,4,4,344,Potential Loyalist
AS-100901,54,5,1502.0,4,3,3,433,Potential Loyalist
AS-100902,16,8,4140.0,5,4,4,544,Champions
AS-100903,192,10,6112.0,2,5,5,255,Can't Lose Them
AS-100904,29,9,3255.0,5,5,4,554,Champions
AS-101351,117,11,4430.0,3,5,5,355,Potential Loyalist
AS-101352,628,3,2474.0,1,1,3,113,At Risk
AS-101353,236,3,346.0,2,1,1,211,At Risk
AS-101354,42,2,58.0,4,1,1,411,Others
AS-102251,72,10,9773.0,4,5,5,455,Champions
AS-102252,13,6,6300.0,5,3,5,535,Potential Loyalist
AS-102253,106,7,1031.0,3,4,2,342,Potential Loyalist
AS-102254,23,5,4262.0,5,3,4,534,Potential Loyalist
AS-102401,22,7,2374.0,5,4,3,543,Loyal Customers
AS-102402,44,9,3688.0,4,5,4,454,Champions
AS-102403,13,8,2358.0,5,4,3,543,Loyal Customers
AS-102404,193,7,586.0,2,4,2,242,Can't Lose Them
AS-102851,139,9,6388.0,3,5,5,355,Potential Loyalist
AS-102852,20,7,4997.0,5,4,5,545,Champions
AS-102853,19,8,1584.0,5,4,3,543,Loyal Customers
AS-102854,20,6,3215.0,5,3,4,534,Potential Loyalist
AS-106301,381,6,7447.0,1,3,5,135,Can't Lose Them
AS-106302,36,5,1455.0,4,3,3,433,Potential Loyalist
AS-106303,629,1,80.0,1,1,1,111,Lost
AS-106304,93,7,835.0,3,4,2,342,Potential Loyalist
AS-1351,967,1,187.0,1,1,1,111,Lost
AS-1352,93,4,3792.0,3,2,4,324,Others
AS-2251,3,3,254.0,5,1,1,511,Others
AS-2252,385,1,28.0,1,1,1,111,Lost
AS-2253,671,3,189.0,1,1,1,111,Lost
AS-2401,1198,1,5.0,1,1,1,111,Lost
AS-2402,499,4,1681.0,1,2,3,123,At Risk
AS-2851,223,7,2059.0,2,4,3,243,Can't Lose Them
AS-2852,100,6,2881.0,3,3,4,334,Potential Loyalist
AS-451,777,2,1234.0,1,1,2,112,Lost
AS-452,234,1,379.0,2,1,1,211,At Risk
AS-6301,561,8,1908.0,1,4,3,143,Can't Lose Them
AS-6302,34,3,93.0,4,1,1,411,Others
AS-901,22,4,436.0,5,2,1,521,Others
AT-104351,127,6,2779.0,3,3,4,334,Potential Loyalist
AT-104352,13,4,6342.0,5,2,5,525,Others
AT-104353,17,8,3364.0,5,4,4,544,Champions
AT-104354,22,6,1172.0,5,3,2,532,Potential Loyalist
AT-107351,78,4,2586.0,3,2,4,324,Others
AT-107352,3,8,4359.0,5,4,5,545,Champions
AT-107353,37,7,2206.0,4,4,3,443,Loyal Customers
AT-107354,14,10,3831.0,5,5,4,554,Champions
AT-4351,213,4,540.0,2,2,1,221,At Risk
AT-4352,29,8,748.0,5,4,2,542,Loyal Customers
AT-7351,1057,1,10.0,1,1,1,111,Lost
AT-7352,70,4,393.0,4,2,1,421,Others
AW-108401,119,7,4229.0,3,4,4,344,Potential Loyalist
AW-108402,17,5,4839.0,5,3,5,535,Potential Loyalist
AW-108403,428,9,3480.0,1,5,4,154,Can't Lose Them
AW-108404,21,4,649.0,5,2,2,522,Others
AW-109301,59,5,1601.0,4,3,3,433,Potential Loyalist
AW-109302,36,5,4066.0,4,3,4,434,Potential Loyalist
AW-109303,56,5,1713.0,4,3,3,433,Potential Loyalist
AW-109304,47,7,2853.0,4,4,4,444,Loyal Customers
AW-8401,57,7,1946.0,4,4,3,443,Loyal Customers
AW-9301,171,4,413.0,2,2,1,221,At Risk
AW-9302,38,2,370.0,4,1,1,411,Others
AY-105551,211,5,802.0,2,3,2,232,At Risk
AY-105552,150,3,3023.0,3,1,4,314,Others
AY-105553,640,4,1125.0,1,2,2,122,Lost
AY-105554,15,4,496.0,5,2,1,521,Others
AY-5551,249,5,660.0,2,3,2,232,At Risk
AY-5552,36,6,2436.0,4,3,3,433,Potential Loyalist
AZ-107501,71,4,742.0,4,2,2,422,Others
AZ-107502,112,4,1287.0,3,2,2,322,Others
AZ-107503,227,4,5989.0,2,2,5,225,Can't Lose Them
AZ-107504,161,6,1624.0,2,3,3,233,At Risk
AZ-7501,27,5,1461.0,5,3,3,533,Potential Loyalist
AZ-7502,816,1,96.0,1,1,1,111,Lost
AZ-7503,149,4,672.0,3,2,2,322,Others
BB-109901,97,11,4719.0,3,5,5,355,Potential Loyalist
BB-109902,15,5,1808.0,5,3,3,533,Potential Loyalist
BB-109903,52,9,1790.0,4,5,3,453,Loyal Customers
BB-109904,106,5,744.0,3,3,2,332,Potential Loyalist
BB-115451,44,4,1286.0,4,2,2,422,Others
BB-115452,34,7,6600.0,4,4,5,445,Champions
BB-115453,41,6,1146.0,4,3,2,432,Potential Loyalist
BB-115454,29,9,6767.0,5,5,5,555,Champions
BB-15451,157,3,131.0,2,1,1,211,At Risk
BB-15452,50,2,77.0,4,1,1,411,Others
BB-9901,51,3,507.0,4,1,1,411,Others
BB-9902,79,4,315.0,3,2,1,321,Others
BC-111251,969,2,2829.0,1,1,4,114,Can't Lose Them
BC-111252,42,12,6941.0,4,5,5,455,Champions
BC-111253,34,5,2086.0,4,3,3,433,Potential Loyalist
BC-111254,203,9,2934.0,2,5,4,254,Can't Lose Them
BC-11251,30,3,85.0,5,1,1,511,Others
BC-11252,132,3,311.0,3,1,1,311,Others
BD-113201,112,5,2828.0,3,3,4,334,Potential Loyalist
BD-113202,206,8,3189.0,2,4,4,244,Can't Lose Them
BD-113203,6,7,1652.0,5,4,3,543,Loyal Customers
BD-113204,34,12,5721.0,4,5,5,455,Champions
BD-115001,89,6,3761.0,3,3,4,334,Potential Loyalist
BD-115002,20,8,2534.0,5,4,4,544,Champions
BD-115003,126,7,2385.0,3,4,3,343,Potential Loyalist
BD-115004,36,6,4410.0,4,3,5,435,Potential Loyalist
BD-115601,45,4,1066.0,4,2,2,422,Others
BD-115602,76,7,5213.0,4,4,5,445,Champions
BD-115603,8,6,2756.0,5,3,4,534,Potential Loyalist
BD-115604,279,2,321.0,2,1,1,211,At Risk
BD-116051,267,6,3719.0,2,3,4,234,Can't Lose Them
BD-116052,790,3,1268.0,1,1,2,112,Lost
BD-116053,992,3,926.0,1,1,2,112,Lost
BD-116054,98,7,3288.0,3,4,4,344,Potential Loyalist
BD-116201,138,9,3514.0,3,5,4,354,Potential Loyalist
BD-116202,56,7,2490.0,4,4,3,443,Loyal Customers
BD-116203,50,3,306.0,4,1,1,411,Others
BD-116204,70,6,1539.0,4,3,3,433,Potential Loyalist
BD-116351,241,7,4867.0,2,4,5,245,Can't Lose Them
BD-116352,13,10,4687.0,5,5,5,555,Champions
BD-116353,164,5,1093.0,2,3,2,232,At Risk
BD-116354,10,3,583.0,5,1,2,512,Others
BD-117251,177,8,3901.0,2,4,4,244,Can't Lose Them
BD-117252,190,6,1418.0,2,3,3,233,At Risk
BD-117253,5,10,4035.0,5,5,4,554,Champions
BD-117254,94,6,1527.0,3,3,3,333,Potential Loyalist
BD-117701,76,5,3106.0,4,3,4,434,Potential Loyalist
BD-117702,198,7,3543.0,2,4,4,244,Can't Lose Them
BD-117703,36,8,2859.0,4,4,4,444,Loyal Customers
BD-117704,328,6,658.0,2,3,2,232,At Risk
BD-13201,290,1,57.0,2,1,1,211,At Risk
BD-13202,6,5,1829.0,5,3,3,533,Potential Loyalist
BD-15001,399,3,52.0,1,1,1,111,Lost
BD-15601,188,2,137.0,2,1,1,211,At Risk
BD-15602,91,3,1427.0,3,1,3,313,Others
BD-16051,276,3,208.0,2,1,1,211,At Risk
BD-16052,353,2,481.0,1,1,1,111,Lost
BD-16201,217,4,429.0,2,2,1,221,At Risk
BD-16202,118,7,2494.0,3,4,3,343,Potential Loyalist
BD-16351,465,4,592.0,1,2,2,122,Lost
BD-16352,325,5,5095.0,2,3,5,235,Can't Lose Them
BD-17251,101,4,2849.0,3,2,4,324,Others
BD-17252,149,9,2229.0,3,5,3,353,Potential Loyalist
BD-17701,454,3,1630.0,1,1,3,113,At Risk
BD-17702,239,2,1775.0,2,1,3,213,At Risk
BE-113351,36,9,10731.0,4,5,5,455,Champions
BE-113352,91,12,5882.0,3,5,5,355,Potential Loyalist
BE-113353,80,11,6342.0,3,5,5,355,Potential Loyalist
BE-113354,120,5,4205.0,3,3,4,334,Potential Loyalist
BE-114101,121,10,5536.0,3,5,5,355,Potential Loyalist
BE-114102,85,7,7623.0,3,4,5,345,Potential Loyalist
BE-114103,191,8,1131.0,2,4,2,242,Can't Lose Them
BE-114104,99,5,2262.0,3,3,3,333,Potential Loyalist
BE-114551,28,9,11483.0,5,5,5,555,Champions
BE-114552,4,7,2971.0,5,4,4,544,Champions
BE-114553,185,5,1464.0,2,3,3,233,At Risk
BE-114554,255,6,1728.0,2,3,3,233,At Risk
BE-13351,868,2,705.0,1,1,2,112,Lost
BE-13352,573,3,615.0,1,1,2,112,Lost
BE-14101,22,3,1718.0,5,1,3,513,Others
BE-14102,65,4,141.0,4,2,1,421,Others
BE-14551,147,1,937.0,3,1,2,312,Others
BE-14552,547,1,403.0,1,1,1,111,Lost
BF-10051,1347,1,699.0,1,1,2,112,Lost
BF-10052,735,1,33.0,1,1,1,111,Lost
BF-10201,160,5,2217.0,2,3,3,233,At Risk
BF-10202,97,2,789.0,3,1,2,312,Others
